timestamp,open,high,low,close,volume
2019-02-28 17:45:00,100.2711,100.2711,100.2711,100.2711,7911
2019-02-28 17:05:00,100.1041,100.1041,100.1041,100.1041,235
2019-02-28 17:00:00,100.2421,100.2421,100.0315,100.0315,836
2019-02-28 16:55:00,100.2421,100.2421,100.2421,100.2421,104
2019-02-28 16:10:00,100.2711,100.2711,100.2711,100.2711,834
2019-02-28 16:00:00,100.2675,100.2711,100.2675,100.2711,942207
2019-02-28 15:55:00,100.4453,100.4526,100.2275,100.2638,238607
2019-02-28 15:50:00,100.4235,100.4744,100.3691,100.4453,95338
2019-02-28 15:45:00,100.3800,100.4381,100.2711,100.4163,74435
2019-02-28 15:40:00,100.4889,100.4961,100.3800,100.3945,35908
2019-02-28 15:35:00,100.4344,100.5252,100.4308,100.4816,34934
2019-02-28 15:30:00,100.3618,100.4598,100.3509,100.4381,27591
2019-02-28 15:25:00,100.3219,100.3799,100.3219,100.3619,23000
2019-02-28 15:20:00,100.3582,100.3945,100.3074,100.3219,33498
2019-02-28 15:15:00,100.3328,100.3582,100.2856,100.3582,11699
2019-02-28 15:10:00,100.3292,100.3727,100.3219,100.3292,11368
2019-02-28 15:05:00,100.3472,100.3472,100.2929,100.3219,23888
2019-02-28 15:00:00,100.3292,100.3582,100.3001,100.3473,14035
2019-02-28 14:55:00,100.2711,100.3364,100.2566,100.3274,13612
2019-02-28 14:50:00,100.2929,100.3038,100.2493,100.2784,18637
2019-02-28 14:45:00,100.2929,100.2929,100.2457,100.2929,11994
2019-02-28 14:40:00,100.3509,100.3509,100.2566,100.3001,20615
2019-02-28 14:35:00,100.3001,100.3586,100.3001,100.3473,19513
2019-02-28 14:30:00,100.3800,100.3872,100.2929,100.3001,23759
2019-02-28 14:25:00,100.3582,100.3945,100.3565,100.3800,16483
2019-02-28 14:20:00,100.2929,100.3655,100.2856,100.3582,16353
2019-02-28 14:15:00,100.2856,100.2856,100.2348,100.2856,11125
2019-02-28 14:10:00,100.2929,100.2929,100.2203,100.2856,17678
2019-02-28 14:05:00,100.3437,100.3448,100.2856,100.2929,10015
2019-02-28 14:00:00,100.3582,100.3945,100.3074,100.3509,12922
2019-02-28 13:55:00,100.2711,100.3582,100.2711,100.3582,12749
2019-02-28 13:50:00,100.3219,100.3220,100.2711,100.2784,11806
2019-02-28 13:45:00,100.4090,100.4163,100.3072,100.3074,12760
2019-02-28 13:40:00,100.4163,100.4308,100.3945,100.4018,12282
2019-02-28 13:35:00,100.3800,100.4344,100.3800,100.4090,14181
2019-02-28 13:30:00,100.3576,100.3727,100.3364,100.3727,9884
2019-02-28 13:25:00,100.3582,100.3655,100.3292,100.3655,11966
2019-02-28 13:20:00,100.3945,100.3945,100.3219,100.3582,12867
2019-02-28 13:15:00,100.2531,100.4018,100.2421,100.4018,11326
2019-02-28 13:10:00,100.3364,100.3509,100.2566,100.2638,28739
2019-02-28 13:05:00,100.3292,100.3509,100.3226,100.3364,11231
2019-02-28 13:00:00,100.3872,100.3872,100.3074,100.3292,27819
2019-02-28 12:55:00,100.3291,100.4018,100.3291,100.3878,24625
2019-02-28 12:50:00,100.3001,100.3219,100.2711,100.3219,9958
2019-02-28 12:45:00,100.2638,100.3147,100.2566,100.2893,9432
2019-02-28 12:40:00,100.2421,100.2711,100.1912,100.2566,26592
2019-02-28 12:35:00,100.3219,100.3255,100.2421,100.2421,23549
2019-02-28 12:30:00,100.3655,100.3655,100.3147,100.3219,10326
2019-02-28 12:25:00,100.3800,100.3872,100.3292,100.3582,13816
2019-02-28 12:20:00,100.3147,100.3755,100.3001,100.3755,13377
2019-02-28 12:15:00,100.3147,100.3292,100.2784,100.3219,12470
2019-02-28 12:10:00,100.2203,100.3297,100.2094,100.3219,14513
2019-02-28 12:05:00,100.2058,100.2493,100.1971,100.2203,17106
2019-02-28 12:00:00,100.1308,100.2130,100.1114,100.1912,12863
2019-02-28 11:55:00,100.2203,100.2493,100.0969,100.1404,24539
2019-02-28 11:50:00,100.2203,100.2711,100.1477,100.2058,24622
2019-02-28 11:45:00,100.2981,100.3074,100.2217,100.2217,12115
2019-02-28 11:40:00,100.3409,100.3437,100.2711,100.2895,13570
2019-02-28 11:35:00,100.3147,100.3727,100.3074,100.3437,14209
2019-02-28 11:30:00,100.2493,100.3509,100.2493,100.3284,17266
2019-02-28 11:25:00,100.2820,100.3121,100.2566,100.2638,18928
2019-02-28 11:20:00,100.2196,100.3219,100.2010,100.2856,17189
2019-02-28 11:15:00,100.0839,100.1985,100.0606,100.1912,12763
2019-02-28 11:10:00,100.0533,100.0943,100.0098,100.0815,15034
2019-02-28 11:05:00,100.1259,100.1549,100.0098,100.0388,14715
2019-02-28 11:00:00,100.0025,100.1840,99.9952,100.1332,30268
2019-02-28 10:55:00,100.0388,100.0989,99.9952,100.0025,23275
2019-02-28 10:50:00,100.2784,100.2784,100.0461,100.0461,29655
2019-02-28 10:45:00,100.2856,100.3074,100.2348,100.2784,12016
2019-02-28 10:40:00,100.3147,100.3437,100.2421,100.2856,22595
2019-02-28 10:35:00,100.3001,100.3437,100.2856,100.3074,11842
2019-02-28 10:30:00,100.2493,100.3292,100.2493,100.3001,16489
2019-02-28 10:25:00,100.1041,100.2566,100.0969,100.2521,20629
2019-02-28 10:20:00,100.3038,100.3038,100.0824,100.1041,18073
2019-02-28 10:15:00,100.3299,100.4163,100.3074,100.3292,33051
2019-02-28 10:10:00,99.9952,100.4018,99.9735,100.3364,43965
2019-02-28 10:05:00,100.2929,100.3001,99.9807,99.9952,148815
2019-02-28 10:00:00,100.6413,100.6486,100.2348,100.2820,67039
2019-02-28 09:55:00,100.5469,100.6486,100.5469,100.6341,35691
2019-02-28 09:50:00,100.5905,100.5905,100.4816,100.5433,22004
2019-02-28 09:45:00,100.4816,100.6309,100.4816,100.5760,28322
2019-02-28 09:40:00,100.3219,100.4671,100.2566,100.4671,49809
2019-02-28 09:35:00,100.4018,100.4744,100.3437,100.3437,35806
2019-02-28 09:30:00,100.7212,100.9426,100.3509,100.3872,127942
2019-02-28 09:25:00,100.7792,100.7792,100.7792,100.7792,115
2019-02-28 08:55:00,100.7793,100.7793,100.7793,100.7793,313
2019-02-28 07:20:00,100.7720,100.7720,100.7720,100.7720,104
2019-02-27 19:40:00,101.0261,101.0261,101.0261,101.0261,104
2019-02-27 16:30:00,101.0261,101.0261,101.0261,101.0261,7604
2019-02-27 16:00:00,101.0261,101.0261,101.0261,101.0261,416935
2019-02-27 15:55:00,101.0914,101.1277,100.9752,101.0261,129095
2019-02-27 15:50:00,101.0769,101.1313,101.0043,101.0914,88391
2019-02-27 15:45:00,101.0841,101.0914,101.0188,101.0841,49061
2019-02-27 15:40:00,101.1204,101.1241,101.0587,101.0841,30248
2019-02-27 15:35:00,101.0841,101.1349,101.0696,101.1277,25807
2019-02-27 15:30:00,101.0478,101.1132,101.0374,101.0841,26835
2019-02-27 15:25:00,101.0986,101.1059,101.0515,101.0551,20982
2019-02-27 15:20:00,101.1241,101.1349,101.0623,101.0986,24016
2019-02-27 15:15:00,101.1858,101.1930,101.1422,101.1422,14094
2019-02-27 15:10:00,101.1858,101.2366,101.1640,101.1712,18197
2019-02-27 15:05:00,101.1495,101.2003,101.1059,101.1858,15705
2019-02-27 15:00:00,101.1930,101.2366,101.1495,101.1495,19074
